发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2019/6/4 17:46,5.8,22.82,121.75,9.0,台湾台东县海域,台湾省,台湾
2019/5/18 6:24,5.1,45.3,124.75,10.0,吉林松原市宁江区,吉林省,松原
2019/4/24 4:15,6.3,28.4,94.61,10.0,西藏林芝市墨脱县,西藏自治区,林芝
2019/4/18 13:01,6.7,24.02,121.65,24.0,台湾花莲县海域,台湾省,台湾
2019/4/9 23:13,5.0,23.96,121.61,10.0,台湾花莲县海域,台湾省,台湾
2019/4/4 9:56,5.1,22.99,120.85,10.0,台湾台东县,台湾省,台湾
2019/4/3 9:52,5.7,22.95,120.87,12.0,台湾台东县,台湾省,台湾
2019/3/28 5:36,5.0,38.28,90.89,9.0,青海海西州茫崖市,青海省,海西
2019/3/8 10:32,5.3,22.46,121.34,11.0,台湾台东县海域,台湾省,台湾
2019/2/2 5:54,5.2,46.73,83.34,16.0,新疆塔城地区塔城市,新疆维吾尔自治区,塔城
2019/1/30 13:21,5.2,23.77,122.43,20.0,台湾花莲县海域,台湾省,台湾
2019/1/20 22:28,5.0,30.09,87.77,10.0,西藏日喀则市谢通门县,西藏自治区,日喀则
2019/1/12 12:32,5.1,39.57,75.59,10.0,新疆喀什地区疏附县,新疆维吾尔自治区,喀什
2019/1/3 8:48,5.3,28.2,104.86,15.0,四川宜宾市珙县,四川省,宜宾
2018/12/24 3:32,5.8,30.32,87.64,8.0,西藏日喀则市谢通门县,西藏自治区,日喀则
2018/12/20 19:08,5.2,39.08,74.75,10.0,新疆克孜勒苏州阿克陶县,新疆维吾尔自治区,克孜勒苏
2018/12/16 12:46,5.7,28.24,104.95,12.0,四川宜宾市兴文县,四川省,宜宾
2018/12/16 5:21,5.2,23.71,121.8,26.0,台湾花莲县海域,台湾省,台湾
2018/11/26 7:57,6.2,23.28,118.6,20.0,台湾海峡,台湾省,台湾
2018/11/4 5:36,5.1,40.24,77.63,22.0,新疆克孜勒苏州阿图什市,新疆维吾尔自治区,克孜勒苏
2018/10/31 16:29,5.1,27.7,102.08,19.0,四川凉山州西昌市,四川省,凉山
2018/10/24 0:04,5.7,24.01,122.68,30.0,台湾花莲县海域,台湾省,台湾
2018/10/23 12:34,6.0,24.01,122.65,30.0,台湾花莲县海域,台湾省,台湾
2018/10/16 10:10,5.4,44.19,82.53,10.0,新疆博尔塔拉州精河县,新疆维吾尔自治区,博尔塔拉
2018/9/28 5:13,5.1,34.27,80.71,6.0,西藏阿里地区日土县,西藏自治区,阿里
2018/9/12 19:06,5.3,32.75,105.69,11.0,陕西汉中市宁强县,陕西省,汉中
2018/9/8 10:31,5.9,23.28,101.53,11.0,云南普洱市墨江县,云南省,普洱
2018/9/4 5:52,5.5,39.51,76.98,8.0,新疆喀什地区伽师县,新疆维吾尔自治区,喀什
2018/8/14 3:50,5.0,24.19,102.71,6.0,云南玉溪市通海县,云南省,玉溪
2018/8/13 1:44,5.0,24.19,102.71,7.0,云南玉溪市通海县,云南省,玉溪
2018/8/4 12:04,5.2,35.19,81.11,10.0,西藏阿里地区日土县,西藏自治区,阿里
2018/8/3 9:34,5.1,34.9,92.33,10.0,青海玉树州治多县,青海省,玉树
2018/5/28 1:50,5.7,45.27,124.71,13.0,吉林松原市宁江区,吉林省,松原
2018/5/6 17:23,5.3,34.56,96.53,9.0,青海玉树州称多县,青海省,玉树
2018/5/2 7:47,5.2,23.97,122.29,15.0,台湾花莲县海域,台湾省,台湾
2018/3/20 17:22,5.1,23.33,120.52,14.0,台湾台南市,台湾省,台湾
2018/2/26 2:28,5.0,24.43,121.97,17.0,台湾宜兰县海域,台湾省,台湾
2018/2/7 23:21,6.1,24.07,121.79,12.0,台湾花莲县附近海域,台湾省,台湾
2018/2/7 19:13,5.0,23.98,121.79,13.0,台湾花莲县附近海域,台湾省,台湾
2018/2/7 3:15,5.9,24.02,121.69,10.0,台湾花莲县附近海域,台湾省,台湾
2018/2/7 2:07,5.2,24.05,121.68,10.0,台湾花莲县附近海域,台湾省,台湾
2018/2/7 2:00,5.2,24.1,121.74,10.0,台湾花莲县附近海域,台湾省,台湾
2018/2/6 23:50,6.5,24.13,121.71,11.0,台湾花莲县附近海域,台湾省,台湾
2018/2/4 22:13,5.5,24.16,121.75,10.0,台湾花莲县附近海域,台湾省,台湾
2018/2/4 21:56,6.4,24.2,121.72,10.0,台湾花莲县附近海域,台湾省,台湾
2017/12/20 1:40,5.0,29.88,95.08,6.0,西藏林芝市巴宜区,西藏自治区,林芝
2017/12/7 7:29,5.2,35.69,77.46,87.0,新疆喀什地区叶城县,新疆维吾尔自治区,喀什
2017/11/23 17:43,5.0,29.4,107.94,10.0,重庆武隆县,重庆市,重庆
2017/11/22 22:20,5.2,23.71,120.6,16.0,台湾云林县,台湾省,台湾
2017/11/18 8:31,5.0,29.88,94.92,6.0,西藏林芝市巴宜区,西藏自治区,林芝
2017/11/18 6:34,6.9,29.75,95.02,10.0,西藏林芝市米林县,西藏自治区,林芝
2017/11/11 20:22,5.0,23.68,120.69,20.0,台湾南投县,台湾省,台湾
2017/9/30 14:14,5.4,32.27,105.0,13.0,四川广元市青川县,四川省,广元
2017/9/20 22:29,5.5,23.35,121.85,15.0,台湾花莲县海域,台湾省,台湾
2017/9/16 18:11,5.7,42.11,83.43,6.0,新疆阿克苏地区库车县,新疆维吾尔自治区,阿克苏
2017/8/9 7:27,6.6,44.27,82.89,11.0,新疆博尔塔拉州精河县,新疆维吾尔自治区,博尔塔拉
2017/8/8 21:19,7.0,33.2,103.82,20.0,四川阿坝州九寨沟县,四川省,阿坝
2017/6/3 18:11,5.0,37.99,103.56,15.0,内蒙古自治区阿拉善盟阿拉善左旗,内蒙古自治区,阿拉善
2017/5/16 7:12,5.6,23.31,121.49,10.0,台湾台东县,台湾省,台湾
2017/5/11 5:58,5.5,37.58,75.25,8.0,新疆喀什地区塔什库尔干县,新疆维吾尔自治区,喀什
2017/4/30 9:57,5.0,21.43,121.8,90.0,台湾台东县海域,台湾省,台湾
2017/3/27 7:55,5.1,25.89,99.8,12.0,云南大理州漾濞县,云南省,大理
2017/2/11 1:12,5.6,22.85,120.2,20.0,台湾高雄市,台湾省,台湾
2017/2/1 18:07,5.0,30.67,83.34,8.0,西藏日喀则市仲巴县,西藏自治区,日喀则
